,Date,Open,High,Low,Close,Volume,ATR14,SMA30,20-period CMF
0,2015.09.01,1.12086,1.12164,1.1073,1.10786,154360,,,
1,2015.09.02,1.10748,1.10961,1.09905,1.10762,132620,,,
2,2015.09.03,1.10807,1.10845,1.09566,1.0960299999999998,121134,,,
3,2015.09.04,1.09581,1.10256,1.09131,1.09647,132346,,,
4,2015.09.07,1.09761,1.10864,1.09671,1.10533,147302,,,
5,2015.09.08,1.1044200000000002,1.1128799999999999,1.10299,1.10563,120238,,,
6,2015.09.09,1.10541,1.10756,1.09327,1.09542,124369,,,
7,2015.09.10,1.09565,1.1263100000000001,1.09499,1.12293,168382,,,
8,2015.09.11,1.1231,1.12411,1.11763,1.12045,93919,,,
9,2015.09.14,1.12019,1.13094,1.11853,1.1266399999999999,93027,,,
10,2015.09.15,1.12638,1.13045,1.12191,1.12297,99073,,,
11,2015.09.16,1.1224,1.13301,1.1205399999999999,1.1296,93799,,,
12,2015.09.17,1.12911,1.13444,1.12588,1.12899,132350,,,
13,2015.09.18,1.1287,1.13266,1.11958,1.12055,129793,0.012725000000000018,,
14,2015.09.21,1.12238,1.13109,1.12206,1.1280700000000001,103976,0.012453571428571444,,
15,2015.09.22,1.12766,1.1309,1.12291,1.1258700000000001,98725,0.012270000000000019,,
16,2015.09.23,1.1260299999999999,1.12684,1.11509,1.1156,101260,0.012195714285714325,,
17,2015.09.24,1.1153600000000001,1.11674,1.1007799999999999,1.10425,124155,0.012532142857142912,,
18,2015.09.25,1.10205,1.11045,1.0987799999999999,1.09895,110324,0.01249642857142863,,
19,2015.09.28,1.10249,1.10473,1.0972,1.10389,104250,0.012327857142857208,,-0.19801429078488922
20,2015.09.29,1.10358,1.1057700000000001,1.09655,1.09966,108448,0.011965714285714357,,-0.15615645474882828
21,2015.09.30,1.0984399999999999,1.10314,1.09559,1.09596,105274,0.010267857142857193,,-0.23481173478827347
22,2015.10.01,1.09566,1.1035700000000002,1.09429,1.09802,115201,0.010467857142857204,,-0.19572640061211533
23,2015.10.02,1.09762,1.10057,1.09051,1.09083,110830,0.010300000000000056,,-0.23820464451756607
24,2015.10.05,1.09065,1.09502,1.08663,1.0904399999999999,106594,0.010289285714285779,,-0.27610289738295285
25,2015.10.06,1.09035,1.09856,1.08717,1.0945,112294,0.010212142857142907,,-0.2376010473721717
26,2015.10.07,1.0944,1.0948,1.0860299999999998,1.08958,114877,0.010227142857142926,,-0.20938936336860428
27,2015.10.08,1.08944,1.09033,1.08446,1.08798,112800,0.009712142857142931,,-0.2652142779853779
28,2015.10.09,1.08635,1.09545,1.08625,1.09301,113188,0.009616428571428652,,-0.23305601621940894
29,2015.10.12,1.0942100000000001,1.09637,1.0915700000000002,1.09528,88815,0.009388571428571508,1.1066126666666667,-0.22439358857101646
30,2015.10.13,1.09538,1.09819,1.08808,1.0904,108582,0.009271428571428644,1.1060306666666666,-0.21625689304459367
31,2015.10.14,1.0900299999999998,1.09045,1.07198,1.07437,129847,0.009450714285714343,1.1049223333333336,-0.27493558299493775
32,2015.10.15,1.07451,1.07755,1.0636700000000001,1.06916,133790,0.009608571428571475,1.1040266666666667,-0.27107424574753264
33,2015.10.16,1.0686799999999999,1.07371,1.0619399999999999,1.06362,111633,0.009911428571428618,1.1029316666666669,-0.25940097649952015
34,2015.10.19,1.0660100000000001,1.0722,1.06402,1.0666,86659,0.00986571428571432,1.101640666666667,-0.2916707595976669
35,2015.10.20,1.06666,1.07644,1.0641,1.07453,82425,0.010207857142857182,1.1006040000000004,-0.2560341780352121
36,2015.10.21,1.07445,1.08002,1.07107,1.07421,94721,0.010184285714285741,1.0998970000000006,-0.2272771946797871
37,2015.10.22,1.0739100000000001,1.07481,1.05938,1.0604799999999999,100008,0.010567857142857176,1.0978153333333338,-0.2370742623985274
38,2015.10.23,1.06029,1.07132,1.05621,1.06625,115566,0.011047857142857165,1.096008666666667,-0.16918091339240016
39,2015.10.26,1.06817,1.07324,1.0666799999999999,1.06735,81753,0.010733571428571453,1.0940323333333337,-0.23942429309359278
40,2015.10.27,1.0665799999999999,1.0705799999999999,1.06067,1.06254,89742,0.010815000000000003,1.0920180000000002,-0.25127787858406914
41,2015.10.28,1.0624200000000001,1.06951,1.05083,1.0611700000000002,127503,0.011730000000000003,1.089737,-0.1978375949477602
42,2015.10.29,1.0601,1.06849,1.05579,1.05623,105874,0.01197999999999999,1.0873116666666667,-0.2344015168909266
43,2015.10.30,1.0556299999999998,1.0580200000000002,1.0495299999999999,1.05182,121173,0.012243571428571449,1.0850206666666664,-0.21082712766312747
44,2015.11.02,1.0531700000000002,1.06103,1.05102,1.05897,105440,0.012236428571428577,1.0827173333333333,-0.17732597111272838
45,2015.11.03,1.05875,1.07935,1.0523799999999999,1.07784,123353,0.012843571428571446,1.0811163333333333,-0.1404210478834064
46,2015.11.04,1.0780399999999999,1.08802,1.07701,1.08328,120188,0.012638571428571452,1.080039,-0.12215739214423561
47,2015.11.05,1.08267,1.0850600000000001,1.0762399999999999,1.07956,106860,0.012427857142857181,1.079216,-0.1452678183595812
48,2015.11.06,1.07992,1.0847799999999999,1.07618,1.07764,115850,0.012429285714285745,1.0785056666666668,-0.20540290583102896
49,2015.11.09,1.07731,1.0799,1.07425,1.07813,87829,0.011951428571428613,1.077647,-0.21279349019919575
50,2015.11.10,1.07532,1.0823,1.0726,1.07615,83551,0.012005000000000043,1.0768633333333333,-0.19818425736324682
51,2015.11.11,1.07587,1.07781,1.07279,1.07562,80529,0.011261428571428613,1.0761853333333335,-0.1515523387365767
52,2015.11.12,1.0734700000000001,1.0917,1.07346,1.08867,126326,0.011485000000000032,1.0758736666666668,-0.0977648116486377
53,2015.11.13,1.08846,1.09481,1.08754,1.08754,87821,0.011505000000000034,1.0757640000000002,-0.10284711747379796
