,Date,Close,SMA3,SMA4,SMA5,SMA6,SMA7,SMA8,SMA9,SMA10,SMA11,SMA12,SMA13,SMA14,SMA15,SMA16,SMA17,SMA18,SMA19,SMA20,SMA21,SMA22,SMA23,SMA24,SMA25,SMA26,SMA27,SMA28,SMA29,SMA30
0,2015.09.01,1.10786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2015.09.02,1.10762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2015.09.03,1.0960299999999998,1.1038366666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2015.09.04,1.09647,1.1000400000000001,1.101995,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015.09.07,1.10533,1.0992766666666667,1.1013625,1.102662,,,,,,,,,,,,,,,,,,,,,,,,,
5,2015.09.08,1.10563,1.1024766666666668,1.100865,1.1022159999999999,1.1031566666666668,,,,,,,,,,,,,,,,,,,,,,,,
6,2015.09.09,1.09542,1.1021266666666667,1.1007125,1.0997759999999999,1.1010833333333334,1.1020514285714287,,,,,,,,,,,,,,,,,,,,,,,
7,2015.09.10,1.12293,1.1079933333333334,1.1073275,1.105156,1.1036350000000001,1.1042042857142855,1.10466125,,,,,,,,,,,,,,,,,,,,,,
8,2015.09.11,1.12045,1.1129333333333336,1.1111075000000001,1.109952,1.1077050000000002,1.1060371428571427,1.1062349999999999,1.1064155555555555,,,,,,,,,,,,,,,,,,,,,
9,2015.09.14,1.1266399999999999,1.1233400000000004,1.1163600000000002,1.114214,1.1127333333333336,1.1104099999999997,1.1086124999999998,1.108502222222222,1.108438,,,,,,,,,,,,,,,,,,,,
10,2015.09.15,1.12297,1.1233533333333334,1.1232475000000004,1.1176820000000003,1.1156733333333335,1.114195714285714,1.11198,1.1102077777777777,1.1099489999999999,1.1097590909090909,,,,,,,,,,,,,,,,,,,
11,2015.09.16,1.1296,1.1264033333333334,1.1249150000000003,1.1245180000000004,1.1196683333333335,1.1176628571428568,1.11612125,1.1139377777777777,1.1121469999999998,1.1117354545454545,1.1114125,,,,,,,,,,,,,,,,,,
12,2015.09.17,1.12899,1.1271866666666668,1.1270500000000003,1.1257300000000003,1.1252633333333335,1.1209999999999998,1.11907875,1.1175511111111112,1.1154429999999997,1.1136781818181818,1.1131733333333333,1.1127646153846154,,,,,,,,,,,,,,,,,
